TT01x,TT02x,TT02bx,TT03x,TT04x,TT05x,TT06x,TT07x,TT08x,TT09x,TT10x,PT01x,PT02x,PT03x,PT04x,FT01x,FT03x,JT01x,JT02x,JT03x,JT04x,T_shx,T_sh_refx,onx,SC01x,SC02x,SC03x,VC02x,VC03x,VC04x,ErrorMSG,EmergencyShotdown,VC02xPath,WHeat,TimeHP,TT01z,TT02z,TT03z,TT04z,TT05z,TT06z,TT07z,SC01z,TT08z,TT09z,TT10z,TT11z,TT12z,TT13z,TT14z,TT15z,DC01z,DC02z,DC03z,VC01z,VC02z,VC03z,VC04z,SC02z,FC01,FC01ON,FC02,FC02ON,TT16z,TT17z,TimeHVAC
22.65,28.45,28.69,24.58,20.71,23.61,23.96,17.72,17.81,24.32,24.58,3.97,-0.04,8.61,3.99,0.0,0.51,15.99,-0.78,0.0,89.64,13.69,15.0,0.0,45.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1681809008.54,14.59,15.48,13.9,26.97,25.58,18.85,35.35,0.0,35.61,34.15,29.32,28.37,35.1,35.67,35.67,35.48,9.94,10.0,2.17,9.88,1.0,0.33,9.98,10.0,0.0,0.0,4.0,0.0,25.32,25.58,1681809008.81
22.73,28.45,28.75,24.58,20.8,23.61,23.96,17.81,17.9,24.23,24.58,3.98,0.02,8.63,4.0,-0.0,0.51,22.42,-0.78,0.0,89.64,13.87,15.0,0.0,45.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1681809010.56,14.59,15.42,13.9,27.04,25.64,18.91,35.29,0.0,35.61,34.15,29.32,28.37,35.03,35.73,35.67,35.42,9.95,10.0,2.17,9.88,1.0,0.33,9.97,10.0,0.0,0.0,4.0,0.0,25.32,25.58,1681809010.81
22.91,28.45,28.75,24.49,20.71,23.53,24.14,17.81,17.9,24.23,24.4,3.99,0.02,8.62,3.99,0.0,0.5,6.35,-0.39,0.0,87.95,13.94,15.0,0.0,45.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1681809012.54,14.66,15.42,13.9,27.04,25.64,18.91,35.29,0.0,35.67,34.15,29.26,28.37,35.03,35.73,35.73,35.48,9.95,10.0,2.19,9.89,1.0,0.33,9.97,10.0,0.0,0.0,4.0,0.0,25.32,25.64,1681809012.81
22.82,28.27,28.69,24.67,20.8,23.53,24.05,17.81,17.81,24.23,24.58,3.98,0.07,8.61,3.99,0.0,0.5,12.78,-0.39,0.0,87.95,13.95,15.0,0.0,45.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1681809014.55,14.66,15.48,13.83,26.97,25.58,18.85,35.35,0.0,35.67,34.15,29.32,28.37,35.03,35.73,35.73,35.48,9.94,10.0,2.18,9.9,1.0,0.33,9.98,10.0,0.0,0.0,4.0,0.0,25.32,25.58,1681809014.8
22.73,28.36,28.69,24.58,20.62,23.7,24.14,17.72,17.9,24.23,24.49,3.99,0.03,8.61,4.0,-0.0,0.51,19.21,-0.78,0.0,91.34,13.78,15.0,0.0,45.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1681809016.56,14.66,15.48,13.9,27.04,25.64,18.85,35.29,0.0,35.61,34.21,29.26,28.37,35.1,35.67,35.67,35.54,9.94,10.0,2.18,9.9,1.0,0.33,9.97,10.0,0.0,0.0,4.0,0.0,25.32,25.58,1681809016.81
22.73,28.45,28.75,24.58,20.8,23.53,23.96,17.81,17.9,24.23,24.58,3.98,0.07,8.61,3.99,-0.0,0.51,15.99,-0.78,0.0,86.26,13.94,15.0,0.0,45.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1681809018.56,14.66,15.42,13.9,27.1,25.58,18.91,35.29,0.0,35.54,34.21,29.26,28.31,35.1,35.73,35.73,35.54,9.94,10.0,2.18,9.9,1.0,0.33,9.97,10.0,0.0,0.0,4.0,0.0,25.39,25.58,1681809018.81
22.82,28.36,28.75,24.67,20.71,23.53,24.05,17.81,17.9,24.23,24.49,3.99,0.02,8.61,3.99,-0.0,0.5,6.35,-0.39,0.0,89.64,13.87,15.0,0.0,45.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1681809020.56,14.72,15.48,13.83,27.04,25.58,18.85,35.29,0.0,35.54,34.21,29.32,28.31,35.1,35.73,35.73,35.48,9.94,10.0,2.18,9.89,1.0,0.33,9.97,10.0,0.0,0.0,4.0,0.0,25.39,25.58,1681809020.81
22.73,28.45,28.75,24.4,20.71,23.61,24.05,17.9,17.9,24.32,24.49,3.98,0.01,8.61,3.99,0.0,0.5,15.99,-0.78,0.0,89.64,13.78,15.0,0.0,45.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1681809022.58,14.66,15.48,13.83,26.97,25.64,18.85,35.29,0.0,35.61,34.21,29.26,28.37,35.03,35.67,35.67,35.54,9.94,10.0,2.18,9.89,1.0,0.33,9.98,10.0,0.0,0.0,4.0,0.0,25.32,25.58,1681809022.81
22.82,28.36,28.75,24.67,20.71,23.61,23.96,17.81,17.9,24.23,24.49,3.98,0.03,8.61,3.99,0.0,0.5,3.14,0.0,0.0,94.72,13.94,15.0,0.0,45.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1681809024.58,14.66,15.48,13.9,27.04,25.58,18.85,35.29,0.0,35.61,34.21,29.32,28.43,35.03,35.67,35.67,35.54,9.94,10.0,2.18,9.88,1.0,0.33,9.97,10.0,0.0,0.0,4.0,0.0,25.32,25.64,1681809024.81
22.73,28.45,28.75,24.58,20.71,23.53,23.96,17.81,17.9,24.23,24.58,3.97,-0.01,8.62,3.99,-0.0,0.5,12.78,-1.17,0.0,94.72,14.03,15.0,0.0,45.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1681809026.58,14.79,15.48,13.9,27.04,25.64,18.91,35.35,0.0,35.54,34.27,29.26,28.37,35.1,35.73,35.67,35.54,9.95,10.0,2.18,9.8,1.0,0.33,9.97,10.0,0.0,0.0,4.0,0.0,25.26,25.64,1681809026.81
