TT01x,TT02x,TT02bx,TT03x,TT04x,TT05x,TT06x,TT07x,TT08x,TT09x,TT10x,PT01x,PT02x,PT03x,PT04x,FT01x,FT03x,JT01x,JT02x,JT03x,JT04x,T_shx,T_sh_refx,onx,SC01x,SC02x,SC03x,VC02x,VC03x,VC04x,ErrorMSG,EmergencyShotdown,VC02xPath,WHeat,TimeHP,TT01z,TT02z,TT03z,TT04z,TT05z,TT06z,TT07z,SC01z,TT08z,TT09z,TT10z,TT11z,TT12z,TT13z,TT14z,TT15z,DC01z,DC02z,DC03z,VC01z,VC02z,VC03z,VC04z,SC02z,FC01,FC01ON,FC02,FC02ON,TT16z,TT17z,TimeHVAC
8.67,75.56,32.56,25.37,-3.81,9.55,10.08,7.44,8.23,24.84,25.11,2.28,0.04,9.72,2.35,0.01,0.47,896.65,137.13,0.0,3464.0,14.85,15.0,1.0,35.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,10.0,1681734434.49,15.74,16.37,15.48,32.94,32.56,24.69,33.64,0.0,38.72,37.19,37.0,31.86,33.83,36.94,36.56,34.97,9.94,10.0,2.17,9.87,1.0,0.1,9.98,10.0,0.0,0.0,4.0,10.0,31.92,26.27,1681734434.5
8.67,75.73,32.62,25.55,-3.98,9.46,9.99,7.35,8.14,24.93,25.11,2.28,0.01,9.61,2.31,0.01,0.47,938.44,190.12,0.0,3464.0,14.88,15.0,1.0,35.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,10.0,1681734436.48,15.67,16.31,15.48,32.94,32.5,24.69,33.57,0.0,38.78,37.13,36.94,31.92,33.83,36.94,36.56,34.97,9.95,10.0,2.16,9.89,1.0,0.1,9.98,10.0,0.0,0.0,4.0,10.0,31.92,26.27,1681734436.49
8.67,75.56,32.62,25.46,-3.9,9.55,9.99,7.35,8.23,24.93,25.2,2.27,0.06,9.57,2.31,0.01,0.47,809.87,190.9,0.0,3464.0,14.76,15.0,1.0,35.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,10.0,1681734438.5,15.67,16.37,15.48,32.88,32.43,24.69,33.64,0.0,38.97,37.19,36.94,31.92,33.83,36.94,36.56,34.97,9.94,10.0,2.18,9.88,1.0,0.1,9.98,10.0,0.0,0.0,4.0,10.0,31.92,26.27,1681734438.51
8.67,75.64,32.56,25.55,-3.9,9.55,10.08,7.35,8.23,24.84,25.28,2.27,0.06,9.74,2.32,0.01,0.47,870.94,169.47,0.0,3464.0,15.14,15.0,1.0,35.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,10.0,1681734440.49,15.67,16.31,15.48,32.94,32.5,24.69,33.64,0.0,38.78,37.07,37.0,31.86,33.83,36.94,36.62,34.97,9.94,10.0,2.2,9.89,1.0,0.1,9.97,10.0,0.0,0.0,4.0,10.0,31.92,26.27,1681734440.51
8.58,75.64,32.62,25.37,-3.98,9.55,9.9,7.44,8.14,24.93,25.2,2.27,0.03,9.61,2.31,0.01,0.48,941.65,208.04,0.0,3464.0,14.88,15.0,1.0,35.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,10.0,1681734442.49,15.67,16.31,15.48,32.94,32.56,24.75,33.57,0.0,38.84,37.13,36.94,31.86,33.83,36.88,36.56,35.03,9.94,10.0,2.19,9.87,1.0,0.1,9.97,10.0,0.0,0.0,4.0,10.0,31.99,26.27,1681734442.51
8.67,75.56,32.56,25.46,-3.9,9.46,10.17,7.35,8.06,24.84,25.2,2.27,0.06,9.55,2.34,0.01,0.48,848.44,137.52,0.0,3464.0,14.76,15.0,1.0,35.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,10.0,1681734444.5,15.67,16.37,15.48,32.94,32.5,24.69,33.64,0.0,38.78,37.13,36.94,31.86,33.83,36.88,36.62,35.03,9.94,10.0,2.19,9.87,1.0,0.1,9.97,10.0,0.0,0.0,4.0,10.0,31.92,26.27,1681734444.51
8.58,75.64,32.62,25.46,-3.98,9.46,9.9,7.35,8.23,24.84,25.2,2.28,0.06,9.75,2.3,0.01,0.47,874.16,169.47,0.0,3464.0,14.79,15.0,1.0,35.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,10.0,1681734446.52,15.67,16.31,15.48,32.88,32.5,24.69,33.64,0.0,38.84,37.13,37.0,31.8,33.89,36.88,36.62,35.03,9.94,10.0,2.17,9.88,1.0,0.1,9.97,10.0,0.0,0.0,4.0,10.0,31.92,26.27,1681734446.53
8.67,75.56,32.56,25.37,-3.9,9.38,9.9,7.27,8.14,24.93,25.2,2.26,0.03,9.61,2.3,0.01,0.48,948.08,148.43,0.0,3464.0,14.67,15.0,1.0,35.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,10.0,1681734448.52,15.74,16.37,15.48,32.88,32.5,24.69,33.7,0.0,38.72,37.07,36.88,31.8,33.83,36.88,36.56,34.91,9.94,10.0,2.17,9.9,1.0,0.1,9.97,10.0,0.0,0.0,4.0,10.0,31.92,26.21,1681734448.54
8.58,75.56,32.62,25.46,-3.9,9.38,10.08,7.35,8.14,24.84,25.2,2.26,0.08,9.55,2.31,0.01,0.47,793.8,168.69,0.0,3464.0,14.91,15.0,1.0,35.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,10.0,1681734450.51,15.74,16.37,15.48,32.88,32.43,24.69,33.64,0.0,38.84,37.13,37.0,31.8,33.89,36.88,36.62,34.97,9.94,10.0,2.19,9.88,1.0,0.09,9.97,10.0,0.0,0.0,4.0,10.0,31.99,26.27,1681734450.53
8.58,75.73,32.62,25.63,-3.98,9.29,9.9,7.35,8.06,24.84,25.2,2.26,0.06,9.75,2.29,0.01,0.48,864.51,188.95,0.0,3464.0,14.7,15.0,1.0,35.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,10.0,1681734452.53,15.67,16.37,15.48,33.0,32.5,24.69,33.57,0.0,38.78,37.07,36.88,31.8,33.83,36.94,36.62,34.97,9.95,10.0,2.18,9.87,1.0,0.1,9.98,10.0,0.0,0.0,4.0,10.0,31.99,26.21,1681734452.55
