TT01x,TT02x,TT02bx,TT03x,TT04x,TT05x,TT06x,TT07x,TT08x,TT09x,TT10x,PT01x,PT02x,PT03x,PT04x,FT01x,FT03x,JT01x,JT02x,JT03x,JT04x,T_shx,T_sh_refx,onx,SC01x,SC02x,SC03x,VC02x,VC03x,VC04x,ErrorMSG,EmergencyShotdown,VC02xPath,WHeat,TimeHP,TT01z,TT02z,TT03z,TT04z,TT05z,TT06z,TT07z,SC01z,TT08z,TT09z,TT10z,TT11z,TT12z,TT13z,TT14z,TT15z,DC01z,DC02z,DC03z,VC01z,VC02z,VC03z,VC04z,SC02z,FC01,FC01ON,FC02,FC02ON,TT16z,TT17z,TimeHVAC
7.88,98.32,31.29,23.26,-5.74,8.41,8.23,7.44,9.46,22.82,23.09,2.1,0.01,10.35,2.18,0.02,0.47,2163.0,149.21,0.0,3464.0,15.5,15.0,1.0,52.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,10.0,1681902342.44,13.71,14.34,13.77,27.73,28.81,25.07,31.54,0.0,42.4,39.54,39.41,30.84,29.32,36.75,36.43,34.21,0.04,10.0,2.18,9.88,1.0,0.1,9.97,10.0,0.0,0.0,10.0,10.0,28.75,26.27,1681902342.45
8.06,98.41,31.29,23.26,-5.74,8.32,8.32,7.44,9.46,22.82,23.17,2.1,-0.02,10.35,2.2,0.02,0.48,2124.43,175.31,0.0,3464.0,15.25,15.0,1.0,52.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,10.0,1681902344.44,13.64,14.34,13.77,27.8,28.75,25.0,31.48,0.0,42.46,39.54,39.48,31.1,29.45,36.68,36.49,34.21,0.04,10.0,2.18,9.87,1.0,0.1,9.97,10.0,0.0,0.0,10.0,10.0,28.75,26.27,1681902344.46
8.14,98.41,31.29,23.09,-5.57,8.32,8.23,7.35,9.46,22.82,23.17,2.11,0.01,10.35,2.19,0.02,0.48,2124.43,186.61,0.0,3464.0,15.59,15.0,1.0,52.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,10.0,1681902346.45,13.64,14.34,13.77,27.8,28.75,25.07,31.54,0.0,42.27,39.6,39.48,30.84,29.32,36.75,36.49,34.27,0.04,10.0,2.18,9.87,1.0,0.1,9.97,10.0,0.0,0.0,10.0,10.0,28.81,26.27,1681902346.46
8.06,98.32,31.29,23.17,-5.65,8.41,8.32,7.35,9.55,22.73,23.17,2.12,0.03,10.34,2.17,0.02,0.47,2172.65,157.39,0.0,3464.0,15.34,15.0,1.0,52.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,10.0,1681902348.46,13.71,14.34,13.77,27.73,28.81,25.0,31.48,0.0,42.33,39.6,39.41,30.91,29.38,36.81,36.49,34.21,0.04,10.0,2.18,9.87,1.0,0.1,9.97,10.0,0.0,0.0,10.0,10.0,28.75,26.27,1681902348.47
8.06,98.23,31.29,23.17,-5.48,8.41,8.41,7.35,9.46,22.82,23.09,2.09,0.05,10.34,2.21,0.02,0.48,2182.29,198.69,0.0,3464.0,15.55,15.0,1.0,52.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,10.0,1681902350.47,13.71,14.28,13.77,27.8,28.75,25.07,31.54,0.0,42.4,39.6,39.41,30.84,29.45,36.75,36.43,34.27,0.04,10.0,2.18,9.87,1.0,0.09,9.97,10.0,0.0,0.0,10.0,10.0,28.81,26.27,1681902350.48
8.14,98.32,31.29,23.26,-5.65,8.41,8.32,7.53,9.55,22.82,23.17,2.11,0.01,10.37,2.2,0.02,0.48,2021.58,146.87,0.0,3464.0,15.92,15.0,1.0,52.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,10.0,1681902352.47,13.64,14.28,13.71,27.73,28.69,25.07,31.48,0.0,42.4,39.6,39.48,30.91,29.38,36.68,36.49,34.27,0.04,10.0,2.18,9.87,1.0,0.1,9.97,10.0,0.0,0.0,10.0,10.0,28.75,26.27,1681902352.49
8.23,98.32,31.35,23.17,-5.57,8.58,8.41,7.53,9.46,22.73,23.09,2.11,0.01,10.36,2.2,0.02,0.48,2108.36,201.03,0.0,3464.0,15.55,15.0,1.0,52.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,10.0,1681902354.47,13.58,14.34,13.77,27.67,28.62,25.07,31.54,0.0,42.27,39.6,39.41,30.91,29.45,36.68,36.49,34.21,0.04,10.0,2.18,9.88,1.0,0.1,9.97,10.0,0.0,0.0,10.0,10.0,28.81,26.34,1681902354.49
8.23,98.32,31.35,23.17,-5.57,8.41,8.41,7.53,9.55,22.82,23.0,2.12,0.0,10.37,2.2,0.02,0.48,2198.36,168.69,0.0,3464.0,15.52,15.0,1.0,52.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,10.0,1681902356.47,13.64,14.28,13.71,27.8,28.69,25.07,31.54,0.0,42.4,39.54,39.35,30.91,29.26,36.75,36.56,34.27,0.04,10.0,2.18,9.89,1.0,0.1,9.97,10.0,0.0,0.0,10.0,10.0,28.75,26.27,1681902356.48
8.23,98.32,31.29,23.0,-5.57,8.5,8.41,7.53,9.55,22.82,23.09,2.12,0.03,10.39,2.23,0.02,0.48,2069.8,167.52,0.0,3464.0,15.43,15.0,1.0,52.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,10.0,1681902358.49,13.58,14.21,13.71,27.67,28.69,25.0,31.54,0.0,42.33,39.54,39.41,30.91,29.38,36.68,36.49,34.27,0.04,10.0,2.17,9.9,1.0,0.1,9.97,10.0,0.0,0.0,10.0,10.0,28.75,26.27,1681902358.5
8.32,98.32,31.29,23.17,-5.57,8.58,8.41,7.53,9.55,22.91,23.09,2.12,0.01,10.37,2.23,0.02,0.48,2326.92,217.78,0.0,3464.0,15.67,15.0,1.0,52.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,10.0,1681902360.49,13.58,14.28,13.71,27.73,28.69,25.07,31.48,0.0,42.4,39.54,39.35,30.91,29.38,36.68,36.49,34.21,0.04,10.0,2.17,9.9,1.0,0.1,9.97,10.0,0.0,0.0,10.0,10.0,28.75,26.21,1681902360.51
8.23,98.23,31.29,23.09,-5.57,8.5,8.41,7.53,9.64,22.91,23.09,2.15,0.01,10.37,2.18,0.02,0.48,2092.29,157.78,0.0,3464.0,15.48,15.0,1.0,52.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,10.0,1681902362.49,13.58,14.21,13.64,27.67,28.69,25.07,31.54,0.0,42.46,39.6,39.41,30.84,29.38,36.68,36.49,34.21,0.04,10.0,2.17,9.9,1.0,0.1,9.97,10.0,0.0,0.0,10.0,10.0,28.75,26.21,1681902362.51
