TT01x,TT02x,TT02bx,TT03x,TT04x,TT05x,TT06x,TT07x,TT08x,TT09x,TT10x,PT01x,PT02x,PT03x,PT04x,FT01x,FT03x,JT01x,JT02x,JT03x,JT04x,T_shx,T_sh_refx,onx,SC01x,SC02x,SC03x,VC02x,VC03x,VC04x,ErrorMSG,EmergencyShotdown,VC02xPath,WHeat,TimeHP,TT01z,TT02z,TT03z,TT04z,TT05z,TT06z,TT07z,SC01z,TT08z,TT09z,TT10z,TT11z,TT12z,TT13z,TT14z,TT15z,DC01z,DC02z,DC03z,VC01z,VC02z,VC03z,VC04z,SC02z,FC01,FC01ON,FC02,FC02ON,TT16z,TT17z,TimeHVAC
24.58,27.57,32.69,26.34,22.29,25.55,25.63,16.23,16.23,25.46,25.55,2.99,0.05,10.58,3.0,0.0,0.52,6.35,208.04,0.0,101.48,23.8,15.0,0.0,52.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682696127.37,24.05,23.93,11.93,26.34,25.32,25.13,42.46,0.0,42.46,40.75,25.51,25.64,41.89,43.1,42.91,41.7,9.94,9.95,2.18,9.84,1.0,0.42,9.97,10.0,0.0,0.0,5.0,0.0,24.56,23.42,1682696127.89
24.58,27.48,32.69,26.43,22.38,25.55,25.63,16.23,16.32,25.55,25.55,2.98,-0.01,10.58,3.0,-0.0,0.52,-0.08,148.04,0.0,106.56,23.89,15.0,0.0,52.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682696129.37,24.05,23.93,11.87,26.34,25.26,25.07,42.46,0.0,42.4,40.68,25.58,25.7,42.02,43.16,42.84,41.7,9.94,9.93,2.18,9.81,1.0,0.42,9.97,10.0,0.0,0.0,5.0,0.0,24.56,23.42,1682696129.9
24.67,27.66,32.62,26.16,22.38,25.63,25.63,16.32,16.32,25.55,25.55,2.98,-0.03,10.58,3.0,-0.0,0.52,6.35,181.55,0.0,101.48,23.89,15.0,0.0,52.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682696131.38,24.05,23.93,11.93,26.34,25.26,25.13,42.4,0.0,42.4,40.75,25.58,25.64,41.95,43.03,42.84,41.7,9.95,9.93,2.18,9.83,1.0,0.42,9.97,10.0,0.0,0.0,5.0,0.0,24.56,23.42,1682696131.89
24.67,27.57,32.62,26.43,22.21,25.37,25.72,16.23,16.23,25.55,25.46,2.98,-0.01,10.58,2.99,-0.0,0.52,3.14,178.43,0.0,109.94,23.7,15.0,0.0,52.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682696133.38,24.05,23.99,11.87,26.27,25.32,25.07,42.4,0.0,42.4,40.75,25.58,25.64,41.83,43.1,42.91,41.7,9.94,9.96,2.18,9.82,1.0,0.43,9.97,10.0,0.0,0.0,5.0,0.0,24.56,23.35,1682696133.9
24.67,27.48,32.62,26.34,22.29,25.55,25.72,16.14,16.23,25.46,25.55,2.99,0.0,10.58,2.99,-0.0,0.52,3.14,149.21,0.0,108.25,23.8,15.0,0.0,52.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682696135.39,24.05,23.99,11.93,26.27,25.26,25.13,42.4,0.0,42.4,40.75,25.58,25.64,41.95,43.1,42.91,41.64,9.94,9.95,2.17,9.82,1.0,0.46,9.98,10.0,0.0,0.0,5.0,0.0,24.5,23.42,1682696135.9
24.58,27.48,32.69,26.34,22.29,25.63,25.72,16.23,16.32,25.46,25.55,2.98,0.03,10.58,3.0,-0.0,0.52,9.57,221.28,0.0,108.25,23.7,15.0,0.0,52.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682696137.38,24.05,23.99,11.87,26.34,25.32,25.07,42.4,0.0,42.4,40.75,25.58,25.7,41.95,43.1,42.84,41.64,9.94,9.96,2.18,9.83,1.0,0.48,9.98,10.0,0.0,0.0,5.0,0.0,24.5,23.42,1682696137.9
24.67,27.48,32.62,26.51,22.29,25.55,25.72,16.23,16.32,25.46,25.63,2.97,0.01,10.58,3.0,0.0,0.52,-0.08,128.56,0.0,104.87,23.88,15.0,0.0,52.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682696139.39,24.05,23.99,11.93,26.34,25.32,25.13,42.4,0.0,42.46,40.75,25.58,25.64,41.95,43.16,42.91,41.7,9.93,9.95,2.18,9.84,1.0,0.47,9.98,10.0,0.0,0.0,5.0,0.0,24.5,23.35,1682696139.9
24.58,27.57,32.62,26.34,22.29,25.46,25.63,16.23,16.32,25.55,25.55,2.97,0.0,10.58,3.0,0.0,0.52,6.35,207.26,0.0,103.18,23.71,15.0,0.0,52.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682696141.4,24.05,23.99,11.87,26.34,25.32,25.07,42.4,0.0,42.4,40.68,25.58,25.58,41.95,43.1,42.91,41.7,9.93,9.93,2.18,9.83,1.0,0.45,9.97,10.0,0.0,0.0,5.0,0.0,24.56,23.35,1682696141.9
24.67,27.57,32.69,26.34,22.38,25.55,25.63,16.23,16.41,25.55,25.63,2.99,0.02,10.58,3.0,-0.0,0.52,9.57,148.82,0.0,104.87,23.89,15.0,0.0,52.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682696143.4,24.05,23.93,11.93,26.34,25.32,25.13,42.4,0.0,42.4,40.75,25.58,25.64,41.95,43.1,42.78,41.64,9.94,9.94,2.18,9.81,1.0,0.39,9.97,10.0,0.0,0.0,5.0,0.0,24.5,23.35,1682696143.9
24.67,27.48,32.62,26.34,22.38,25.46,25.72,16.14,16.32,25.55,25.55,2.98,-0.01,10.58,3.0,0.0,0.52,6.35,191.68,0.0,108.25,23.62,15.0,0.0,52.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682696145.41,24.05,23.93,11.87,26.27,25.26,25.07,42.4,0.0,42.4,40.75,25.64,25.7,42.02,43.16,42.91,41.64,9.94,9.94,2.18,9.82,1.0,0.33,9.97,10.0,0.0,0.0,5.0,0.0,24.5,23.35,1682696145.89
