23,15,1.128239978
22,15,1.20193999
21,15,1.267290027
20,15,1.951129993
19,15,2.247769946
18,15,2.34917998
17,15,1.615500049
16,15,1.512590015
15,15,1.391280017
14,15,1.336660022
13,15,1.33717998
12,15,1.332270007
11,15,1.416989978
10,15,1.5687
9,15,1.708049976
8,15,1.838750049
7,15,1.810730029
6,15,1.633380054
5,15,1.449549976
4,15,1.376009998
3,15,1.40097002
2,15,1.400900012
1,15,1.40797002
0,15,1.436739978
23,14,1.48793999
22,14,1.55721001
21,14,1.6247
20,14,2.365789966
19,14,2.493620044
18,14,2.545909961
17,14,1.779039966
16,14,1.569649951
15,14,1.417840015
14,14,1.37768999
13,14,1.366369983
12,14,1.403239978
11,14,1.468789966
10,14,1.462090015
9,14,1.77747002
8,14,1.973980029
7,14,1.921909961
6,14,1.670360034
5,14,1.48942998
4,14,1.417840015
3,14,1.416350024
2,14,1.416650012
1,14,1.417840015
0,14,1.442419971
23,13,1.55042998
22,13,1.631250049
21,13,1.69046001
20,13,2.455549976
19,13,2.595139941
18,13,2.708360034
17,13,1.833039966
16,13,1.551250049
15,13,1.333509998
14,13,1.326069995
13,13,1.326069995
12,13,1.349160022
11,13,1.482490039
10,13,1.72346001
9,13,1.893669971
8,13,1.938360034
7,13,1.892779956
6,13,1.603610034
5,13,1.250830005
4,13,1.205989978
3,13,1.199580005
2,13,1.184309985
1,13,1.185650012
0,13,1.205770007
23,12,1.167480029
22,12,1.200030017
21,12,1.229830005
20,12,2.059119983
19,12,2.059419971
18,12,2.30396001
17,12,1.556309985
16,12,1.310569995
15,12,1.16643999
14,12,1.173359973
13,12,1.189530017
12,12,1.223270007
11,12,1.333069995
10,12,1.43497002
9,12,1.437580005
8,12,1.48972002
7,12,1.297540027
6,12,1.236830005
5,12,1.317799976
4,12,1.314590015
3,12,1.38245
2,12,1.413890002
1,12,1.36696001
