TT01x,TT02x,TT02bx,TT03x,TT04x,TT05x,TT06x,TT07x,TT08x,TT09x,TT10x,PT01x,PT02x,PT03x,PT04x,FT01x,FT03x,JT01x,JT02x,JT03x,JT04x,T_shx,T_sh_refx,onx,SC01x,SC02x,SC03x,VC02x,VC03x,VC04x,ErrorMSG,EmergencyShotdown,VC02xPath,WHeat,TimeHP,TT01z,TT02z,TT03z,TT04z,TT05z,TT06z,TT07z,SC01z,TT08z,TT09z,TT10z,TT11z,TT12z,TT13z,TT14z,TT15z,DC01z,DC02z,DC03z,VC01z,VC02z,VC03z,VC04z,SC02z,FC01,FC01ON,FC02,FC02ON,TT16z,TT17z,TimeHVAC
10.17,75.38,30.4,24.32,-2.58,10.87,10.96,9.55,10.34,23.96,24.14,2.39,0.0,9.4,2.46,0.02,0.5,1028.43,146.87,0.0,94.72,14.88,15.0,1.0,38.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682583015.95,8.25,9.45,8.06,29.45,29.0,24.88,30.78,0.0,37.89,35.86,35.67,29.96,27.54,28.24,28.12,27.86,0.04,10.0,2.17,9.88,1.0,0.09,9.96,10.0,0.0,0.0,5.0,10.0,29.26,26.34,1682583015.96
10.25,75.38,30.4,24.4,-2.4,10.69,11.04,9.46,10.43,23.96,24.05,2.4,-0.02,9.43,2.46,0.02,0.5,925.58,138.3,0.0,98.1,14.77,15.0,1.0,38.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682583017.95,8.18,9.26,8.12,29.45,29.0,24.81,30.72,0.0,37.89,35.92,35.67,30.02,27.48,28.18,28.18,27.86,0.04,10.0,2.18,9.89,1.0,0.1,9.96,10.0,0.0,0.0,5.0,10.0,29.26,26.34,1682583017.97
10.17,75.38,30.46,24.49,-2.75,10.87,10.96,9.46,10.52,23.96,24.23,2.42,0.0,9.41,2.44,0.02,0.5,1041.29,168.3,0.0,98.1,14.66,15.0,1.0,38.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682583019.95,8.18,9.26,8.06,29.38,29.07,24.88,30.72,0.0,37.89,35.92,35.73,30.02,27.48,28.31,28.18,27.86,0.04,10.0,2.17,9.87,1.0,0.1,9.97,10.0,0.0,0.0,5.0,10.0,29.32,26.4,1682583019.96
10.17,75.38,30.4,24.4,-2.58,10.78,11.04,9.38,10.52,24.05,24.23,2.4,0.01,9.44,2.47,0.02,0.5,973.79,156.22,0.0,96.41,14.75,15.0,1.0,38.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682583021.97,8.25,9.33,8.12,29.45,29.0,24.88,30.72,0.0,37.95,35.92,35.67,30.02,27.54,28.24,28.18,27.73,0.04,10.0,2.17,9.88,1.0,0.09,9.97,10.0,0.0,0.0,5.0,10.0,29.26,26.34,1682583021.98
10.25,75.29,30.34,24.32,-2.58,10.78,10.96,9.46,10.43,23.96,24.23,2.39,0.02,9.41,2.46,0.02,0.5,1054.14,197.91,0.0,96.41,14.88,15.0,1.0,38.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682583023.97,8.18,9.33,8.12,29.51,29.0,24.81,30.78,0.0,37.89,35.86,35.61,30.08,27.48,28.24,28.18,27.8,0.04,10.0,2.17,9.88,1.0,0.1,9.97,10.0,0.0,0.0,5.0,10.0,29.32,26.27,1682583023.98
10.17,75.38,30.46,24.4,-2.58,10.78,10.96,9.46,10.34,23.88,24.32,2.4,0.03,9.43,2.43,0.02,0.5,1140.92,158.95,0.0,99.79,14.46,15.0,1.0,38.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682583025.97,8.18,9.26,8.12,29.45,29.07,24.81,30.84,0.0,37.95,35.86,35.67,29.96,27.54,28.24,28.24,27.86,0.04,10.0,2.19,9.88,1.0,0.1,9.97,10.0,0.0,0.0,5.0,10.0,29.19,26.34,1682583025.98
10.08,75.29,30.4,24.32,-2.67,10.78,10.87,9.46,10.34,23.96,24.23,2.39,0.0,9.42,2.45,0.02,0.5,1034.86,178.82,0.0,93.03,14.99,15.0,1.0,38.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682583027.98,8.25,9.26,8.12,29.45,29.07,24.81,30.78,0.0,37.76,35.86,35.67,30.02,27.61,28.24,28.18,27.8,0.04,10.0,2.19,9.88,1.0,0.1,9.97,10.0,0.0,0.0,5.0,10.0,29.32,26.4,1682583028.0
10.17,75.29,30.46,24.32,-2.58,10.69,11.13,9.29,10.34,24.05,24.14,2.39,0.02,9.44,2.45,0.02,0.5,1134.5,168.3,0.0,96.41,14.77,15.0,1.0,38.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682583029.98,8.25,9.26,8.12,29.51,29.0,24.81,30.78,0.0,37.95,35.86,35.61,30.02,27.61,28.31,28.18,27.86,0.04,10.0,2.18,9.9,1.0,0.1,9.97,10.0,0.0,0.0,5.0,10.0,29.26,26.34,1682583030.0
10.08,75.29,30.46,24.4,-2.49,10.69,10.96,9.29,10.43,24.05,24.23,2.41,0.02,9.43,2.45,0.02,0.5,1044.5,175.7,0.0,96.41,14.66,15.0,1.0,38.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682583031.98,8.18,9.33,8.18,29.45,29.07,24.81,30.84,0.0,37.89,35.86,35.67,30.02,27.54,28.24,28.18,27.86,0.04,10.0,2.18,9.87,1.0,0.1,9.97,10.0,0.0,0.0,5.0,10.0,29.32,26.27,1682583032.0
10.08,75.29,30.53,24.4,-2.58,10.69,11.04,9.38,10.34,24.05,24.23,2.39,0.03,9.44,2.46,0.02,0.5,1128.07,187.78,0.0,93.03,14.88,15.0,1.0,38.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682583033.98,8.25,9.33,8.12,29.58,29.13,24.81,30.84,0.0,37.83,35.8,35.67,30.02,27.48,28.24,28.18,27.86,0.04,10.0,2.17,9.9,1.0,0.1,9.97,10.0,0.0,0.0,5.0,10.0,29.32,26.34,1682583034.0
10.08,75.29,30.4,24.4,-2.67,10.69,10.96,9.29,10.43,24.05,24.23,2.41,0.02,9.44,2.45,0.02,0.5,951.29,137.52,0.0,104.87,14.68,15.0,1.0,38.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682583036.0,8.18,9.33,8.18,29.51,29.07,24.81,30.84,0.0,37.95,35.86,35.67,30.08,27.54,28.24,28.24,27.8,0.06,10.0,2.17,9.88,1.0,0.1,9.97,10.0,0.0,0.0,5.0,10.0,29.26,26.34,1682583036.01
10.08,75.29,30.34,24.49,-2.75,10.69,11.04,9.2,10.34,23.96,24.23,2.41,0.01,9.44,2.43,0.02,0.5,1063.79,218.17,0.0,99.79,14.68,15.0,1.0,38.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682583038.0,8.25,9.33,8.12,29.58,29.07,24.88,30.84,0.0,37.89,35.92,35.61,30.08,27.61,28.24,28.18,27.86,0.04,10.0,2.17,9.88,1.0,0.1,9.97,10.0,0.0,0.0,5.0,10.0,29.32,26.4,1682583038.02
10.08,75.29,30.46,24.4,-2.67,10.61,10.96,9.2,10.25,23.96,24.14,2.37,0.05,9.47,2.44,0.02,0.49,989.86,135.97,0.0,89.64,14.79,15.0,1.0,38.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682583040.0,8.18,9.26,8.12,29.58,29.07,24.81,30.84,0.0,37.89,35.92,35.67,30.08,27.54,28.31,28.12,27.92,0.04,10.0,2.17,9.88,1.0,0.1,9.97,10.0,0.0,0.0,5.0,10.0,29.26,26.27,1682583040.01
