TT01x,TT02x,TT02bx,TT03x,TT04x,TT05x,TT06x,TT07x,TT08x,TT09x,TT10x,PT01x,PT02x,PT03x,PT04x,FT01x,FT03x,JT01x,JT02x,JT03x,JT04x,T_shx,T_sh_refx,onx,SC01x,SC02x,SC03x,VC02x,VC03x,VC04x,ErrorMSG,EmergencyShotdown,VC02xPath,WHeat,TimeHP,TT01z,TT02z,TT03z,TT04z,TT05z,TT06z,TT07z,SC01z,TT08z,TT09z,TT10z,TT11z,TT12z,TT13z,TT14z,TT15z,DC01z,DC02z,DC03z,VC01z,VC02z,VC03z,VC04z,SC02z,FC01,FC01ON,FC02,FC02ON,TT16z,TT17z,TimeHVAC
22.12,22.29,21.83,22.21,21.42,22.12,22.12,19.48,19.48,21.86,22.21,2.01,0.03,6.18,2.02,0.0,0.52,25.64,-1.17,0.0,42.29,31.6,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575814.5,13.9,14.91,6.72,19.67,19.99,22.72,21.39,0.0,21.45,21.07,20.82,20.62,24.37,28.37,28.31,27.92,0.02,2.02,2.01,2.02,1.0,0.09,3.72,10.0,0.0,0.0,4.0,0.0,21.07,23.99,1682575814.52
22.12,22.21,21.83,22.12,21.5,22.21,22.12,19.31,19.57,21.86,22.12,1.99,0.03,6.19,2.03,0.0,0.52,19.21,-0.39,0.0,42.29,31.82,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575816.5,13.83,14.91,6.6,19.67,19.99,22.72,21.39,0.0,21.45,21.07,20.82,20.56,24.43,28.37,28.31,27.86,0.02,2.02,2.01,2.04,1.0,0.09,3.98,10.0,0.0,0.0,4.0,0.0,21.07,23.99,1682575816.51
22.21,22.21,21.83,22.12,21.5,22.12,22.12,19.48,19.48,21.86,22.12,2.0,-0.02,6.19,2.02,0.0,0.52,12.78,-0.39,0.0,25.37,31.91,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575818.5,13.96,14.91,6.72,19.67,19.99,22.72,21.32,0.0,21.39,21.13,20.82,20.62,24.43,28.37,28.37,27.86,0.03,2.01,2.01,2.04,1.0,0.09,4.21,10.0,0.0,0.0,4.0,0.0,21.07,24.05,1682575818.52
22.03,22.29,21.83,22.21,21.5,22.21,22.12,19.39,19.48,21.86,22.12,2.01,0.02,6.19,2.03,0.0,0.52,15.99,-0.39,0.0,37.21,31.95,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575820.51,13.9,14.91,6.66,19.61,19.99,22.72,21.26,0.0,21.39,21.13,20.88,20.56,24.37,28.43,28.24,27.86,0.03,2.02,2.01,2.06,1.0,0.09,4.49,10.0,0.0,0.0,4.0,0.0,21.07,23.93,1682575820.53
22.12,22.12,21.83,22.12,21.42,22.12,22.21,19.39,19.48,21.86,22.03,2.0,0.02,6.19,2.02,0.0,0.52,19.21,-0.78,0.0,37.21,31.69,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575822.52,13.9,14.98,6.66,19.67,19.93,22.72,21.26,0.0,21.32,21.13,20.82,20.56,24.37,28.37,28.37,27.86,0.03,2.01,2.01,2.05,1.0,0.09,4.72,10.0,0.0,0.0,4.0,0.0,21.07,24.05,1682575822.54
22.12,22.12,21.89,22.21,21.33,22.21,22.03,19.39,19.57,21.86,22.12,2.0,0.03,6.18,2.03,0.0,0.52,19.21,-0.39,0.0,38.9,31.82,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575824.51,13.96,14.91,6.72,19.74,19.99,22.66,21.2,0.0,21.32,21.2,20.82,20.62,24.37,28.37,28.31,27.86,0.03,2.01,2.01,2.01,1.0,0.1,5.0,10.0,0.0,0.0,4.0,0.0,21.07,23.99,1682575824.53
22.12,22.21,21.89,22.12,21.33,22.12,22.12,19.48,19.48,21.94,22.12,2.01,0.02,6.19,2.02,0.0,0.52,19.21,-0.78,0.0,38.9,31.6,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575826.52,13.9,14.91,6.66,19.67,19.99,22.66,21.2,0.0,21.26,21.13,20.82,20.56,24.37,28.31,28.37,27.92,0.03,2.02,2.01,2.02,1.0,0.09,5.22,10.0,0.0,0.0,4.0,0.0,21.13,23.99,1682575826.53
22.12,22.12,21.83,22.29,21.33,22.21,22.12,19.31,19.48,21.86,22.12,2.0,-0.01,6.18,2.02,-0.0,0.52,15.99,0.0,0.0,35.52,31.6,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575828.52,13.9,14.91,6.72,19.74,19.99,22.72,21.07,0.0,21.26,21.13,20.82,20.5,24.37,28.37,28.24,27.86,0.03,2.02,2.01,2.02,1.0,0.09,5.48,10.0,0.0,0.0,4.0,0.0,21.13,23.99,1682575828.54
22.12,22.21,21.83,22.03,21.42,22.21,22.12,19.39,19.48,21.86,22.21,2.01,0.02,6.2,2.01,-0.0,0.52,9.57,-0.78,0.0,37.21,31.73,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575830.53,13.96,14.91,6.6,19.67,19.93,22.72,21.01,0.0,21.26,21.13,20.82,20.56,24.31,28.37,28.31,27.86,0.03,2.02,2.02,2.02,1.0,0.09,5.72,10.0,0.0,0.0,4.0,0.0,21.2,23.99,1682575830.54
22.03,22.12,21.83,22.21,21.33,22.21,22.03,19.22,19.39,21.86,22.21,2.0,0.01,6.18,2.03,0.0,0.52,9.57,-0.39,0.0,42.29,32.04,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575832.53,14.02,14.91,6.66,19.74,19.93,22.72,20.94,0.0,21.26,21.2,20.82,20.5,24.37,28.37,28.31,27.86,0.03,2.02,2.02,2.02,1.0,0.09,5.97,10.0,0.0,0.0,4.0,0.0,21.13,23.99,1682575832.55
22.12,22.29,21.83,22.03,21.5,22.21,22.12,19.39,19.48,21.86,22.12,2.0,0.01,6.17,2.02,0.0,0.52,22.42,-0.78,0.0,35.52,31.82,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575834.54,13.9,14.91,6.66,19.67,19.93,22.66,20.94,0.0,21.13,21.2,20.88,20.56,24.37,28.37,28.24,27.92,0.03,2.01,7.5,2.11,1.0,0.09,6.22,10.0,0.0,0.0,4.0,0.0,21.07,23.93,1682575834.56
22.12,22.21,21.83,22.12,21.42,22.21,22.12,19.31,19.39,21.86,22.12,2.01,-0.02,6.19,2.02,-0.0,0.52,25.64,-0.39,0.0,35.52,31.69,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575836.55,13.96,14.98,6.66,19.8,19.86,22.66,20.94,0.0,21.07,21.2,20.88,20.5,24.37,28.37,28.31,27.92,0.03,2.01,9.89,2.13,1.0,0.09,6.47,10.0,0.0,0.0,4.0,0.0,21.13,23.99,1682575836.56
22.12,22.12,21.83,22.12,21.33,22.21,22.12,19.39,19.39,21.86,22.21,2.02,0.04,6.18,2.03,-0.0,0.52,12.78,-0.78,0.0,43.98,31.95,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575838.55,13.96,14.98,6.66,19.74,19.86,22.66,20.94,0.0,21.01,21.26,20.88,20.56,24.37,28.31,28.31,27.99,0.03,2.01,9.74,2.12,1.0,0.1,6.73,10.0,0.0,0.0,4.0,0.0,21.2,23.99,1682575838.56
22.12,22.21,21.83,22.12,21.33,22.12,22.03,19.39,19.48,21.86,22.12,2.0,0.01,6.19,2.02,0.0,0.52,22.42,-0.39,0.0,35.52,31.82,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575840.56,13.9,14.91,6.72,19.8,19.86,22.59,20.88,0.0,20.94,21.2,20.88,20.5,24.37,28.37,28.31,27.92,0.02,2.0,9.66,2.14,1.0,0.1,6.98,10.0,0.0,0.0,4.0,0.0,21.07,24.05,1682575840.57
22.21,22.21,21.89,22.12,21.42,22.21,22.12,19.31,19.39,21.94,22.21,2.02,-0.01,6.18,2.03,-0.0,0.52,22.42,-0.78,0.0,43.98,31.82,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575842.57,13.9,14.91,6.66,19.74,19.86,22.72,20.75,0.0,20.88,21.2,20.88,20.5,24.31,28.43,28.31,27.86,0.03,2.01,9.52,2.12,1.0,0.09,7.24,10.0,0.0,0.0,4.0,0.0,21.13,24.05,1682575842.58
22.12,22.12,21.83,21.94,21.5,22.21,22.12,19.31,19.48,21.86,22.21,2.0,0.02,6.17,2.02,-0.0,0.52,19.21,-0.78,0.0,33.83,31.69,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575844.57,13.9,14.98,6.66,19.8,19.93,22.66,20.82,0.0,20.82,21.26,20.88,20.56,24.37,28.37,28.31,27.86,0.02,2.01,9.48,2.12,1.0,0.1,7.48,10.0,0.0,0.0,4.0,0.0,21.13,23.99,1682575844.59
22.12,22.21,21.83,22.03,21.42,22.12,22.03,19.39,19.48,21.94,22.21,2.01,0.0,6.19,2.01,-0.0,0.52,19.21,-0.78,0.0,33.83,31.82,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575846.57,13.96,15.04,6.72,19.8,19.93,22.66,20.82,0.0,20.69,21.2,20.88,20.5,24.37,28.37,28.24,27.92,0.02,2.0,9.33,2.13,1.0,0.09,7.74,10.0,0.0,0.0,4.0,0.0,21.13,23.99,1682575846.59
22.03,22.12,21.89,22.12,21.42,22.21,22.12,19.39,19.39,21.86,22.12,2.0,0.0,6.18,2.03,0.0,0.52,15.99,0.0,0.0,37.21,31.73,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575848.58,13.96,14.98,6.66,19.74,19.99,22.66,20.82,0.0,20.69,21.2,20.88,20.5,24.31,28.43,28.37,27.86,0.03,2.01,9.25,2.11,1.0,0.1,7.97,10.0,0.0,0.0,4.0,0.0,21.2,23.99,1682575848.6
22.12,22.21,21.83,22.03,21.42,22.21,22.12,19.22,19.48,21.86,22.21,2.01,0.03,6.18,2.02,-0.0,0.52,6.35,-0.78,0.0,32.14,31.91,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575850.58,13.96,14.91,6.72,19.8,19.99,22.59,20.82,0.0,20.62,21.2,20.94,20.56,24.31,28.31,28.31,27.86,0.03,2.01,9.11,2.13,1.0,0.09,8.23,10.0,0.0,0.0,4.0,0.0,21.2,23.93,1682575850.6
22.12,22.12,21.83,22.12,21.33,22.21,22.03,19.31,19.48,21.94,22.21,2.01,0.01,6.18,2.02,0.0,0.52,9.57,-0.78,0.0,40.59,31.91,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575852.59,13.96,14.91,6.72,19.74,19.99,22.66,20.82,0.0,20.62,21.26,20.94,20.62,24.31,28.37,28.31,27.86,0.03,2.01,9.01,2.12,1.0,0.09,8.47,10.0,0.0,0.0,4.0,0.0,21.2,24.05,1682575852.6
22.21,22.03,21.83,22.12,21.5,22.12,22.21,19.31,19.48,21.86,22.03,2.0,0.01,6.19,2.02,-0.0,0.52,22.42,-0.78,0.0,37.21,31.55,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575854.59,13.9,14.91,6.66,19.8,19.99,22.66,20.82,0.0,20.62,21.2,20.94,20.56,24.24,28.37,28.31,27.8,0.02,2.0,8.91,2.11,1.0,0.1,8.74,10.0,0.0,0.0,4.0,0.0,21.26,24.05,1682575854.61
22.12,22.29,21.89,22.21,21.33,22.12,22.03,19.39,19.48,21.86,22.21,2.0,0.04,6.19,2.01,0.0,0.53,19.21,-1.17,0.0,35.52,31.69,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575856.6,13.96,14.98,6.72,19.8,19.99,22.66,20.82,0.0,20.62,21.2,20.94,20.62,24.31,28.37,28.31,27.86,0.03,2.01,8.81,2.13,1.0,0.1,8.98,10.0,0.0,0.0,4.0,0.0,21.2,24.05,1682575856.61
22.21,22.21,21.83,22.12,21.33,22.03,22.12,19.31,19.48,21.94,22.21,2.0,-0.01,6.18,2.03,-0.0,0.52,12.78,-0.39,0.0,38.9,31.91,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575858.59,13.96,14.98,6.66,19.86,19.99,22.72,20.82,0.0,20.69,21.26,20.88,20.56,24.31,28.37,28.31,27.92,0.03,2.01,8.7,2.11,1.0,0.1,9.23,10.0,0.0,0.0,4.0,0.0,21.2,23.99,1682575858.61
22.21,22.29,21.83,22.03,21.42,22.12,22.21,19.39,19.39,21.86,22.12,2.0,0.01,6.18,2.01,-0.0,0.52,19.21,-0.39,0.0,32.14,31.69,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575860.6,13.9,14.91,6.72,19.8,19.93,22.66,20.88,0.0,20.75,21.2,20.88,20.56,24.31,28.37,28.31,27.8,0.02,2.0,8.6,2.11,1.0,0.09,9.49,10.0,0.0,0.0,4.0,0.0,21.26,24.05,1682575860.62
22.12,22.21,21.89,22.21,21.42,22.21,22.12,19.39,19.39,21.86,22.21,2.01,0.01,6.19,2.02,-0.0,0.52,15.99,-1.17,0.0,42.29,31.95,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575862.61,13.9,14.98,6.66,19.93,19.99,22.72,20.94,0.0,20.75,21.13,20.88,20.62,24.31,28.43,28.31,27.92,0.03,2.01,8.47,2.12,1.0,0.09,9.73,10.0,0.0,0.0,4.0,0.0,21.2,24.05,1682575862.62
22.03,22.21,21.89,22.21,21.42,22.21,22.03,19.31,19.39,21.94,22.21,2.0,0.0,6.19,2.03,-0.0,0.52,22.42,-1.17,0.0,40.59,31.82,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575864.62,13.96,14.91,6.66,19.86,19.99,22.66,20.94,0.0,20.75,21.2,20.88,20.62,24.24,28.37,28.31,27.86,0.02,2.01,8.4,2.1,1.0,0.09,9.97,10.0,0.0,0.0,4.0,0.0,21.2,23.99,1682575864.63
22.21,22.21,21.83,22.21,21.24,22.12,22.03,19.31,19.48,21.86,22.12,2.01,-0.02,6.18,2.01,-0.0,0.52,12.78,-1.17,0.0,30.45,31.82,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575866.62,14.02,14.91,6.6,19.93,19.99,22.66,21.01,0.0,20.88,21.13,20.88,20.62,24.31,28.43,28.31,27.99,0.02,2.01,8.26,2.11,1.0,0.09,9.97,10.0,0.0,0.0,5.0,0.0,21.2,23.99,1682575866.63
22.12,22.12,21.89,22.03,21.42,22.12,22.12,19.31,19.48,21.86,22.21,1.99,0.0,6.19,2.03,-0.0,0.53,19.21,-0.78,0.0,38.9,31.73,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575868.63,14.02,14.98,6.66,19.93,19.99,22.66,21.01,0.0,20.82,21.13,20.88,20.62,24.24,28.31,28.31,27.86,0.03,2.01,8.18,2.11,1.0,0.09,9.97,10.0,0.0,0.0,5.0,0.0,21.2,24.05,1682575868.64
22.21,22.12,21.89,22.03,21.33,22.03,22.21,19.31,19.48,21.86,22.12,2.0,-0.01,6.2,2.02,0.0,0.52,12.78,0.0,0.0,35.52,31.91,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575870.63,13.96,14.98,6.66,19.99,19.93,22.66,21.01,0.0,20.75,21.07,20.88,20.69,24.18,28.43,28.31,27.86,0.02,2.01,8.06,2.1,1.0,0.09,9.97,10.0,0.0,0.0,5.0,0.0,21.26,23.99,1682575870.64
22.21,22.03,21.83,22.21,21.42,22.12,22.12,19.31,19.48,21.86,22.12,2.01,-0.01,6.19,2.02,-0.0,0.52,9.57,-0.39,0.0,35.52,31.82,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575872.64,13.96,14.91,6.6,19.93,19.99,22.72,21.01,0.0,20.88,21.13,20.88,20.69,24.31,28.31,28.31,27.86,0.02,2.01,7.97,2.12,1.0,0.09,9.97,10.0,0.0,0.0,5.0,0.0,21.2,24.05,1682575872.65
22.12,22.21,21.83,22.12,21.33,22.21,22.12,19.31,19.39,21.77,22.12,2.0,0.02,6.2,2.02,0.0,0.52,19.21,-0.39,0.0,37.21,31.69,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575874.64,13.96,14.98,6.66,19.99,19.93,22.66,21.07,0.0,20.82,21.13,20.88,20.69,24.24,28.37,28.31,27.8,0.03,2.0,7.83,2.1,1.0,0.09,9.97,10.0,0.0,0.0,5.0,0.0,21.26,24.05,1682575874.66
22.12,22.12,21.89,22.03,21.5,22.03,22.12,19.39,19.48,21.86,22.12,2.02,0.01,6.2,2.03,-0.0,0.52,15.99,-0.39,0.0,33.83,31.69,15.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575876.65,13.96,14.91,6.6,19.99,19.99,22.72,21.13,0.0,20.94,21.13,20.88,20.69,24.24,28.37,28.24,27.86,0.03,2.01,7.74,2.09,1.0,0.1,9.97,10.0,0.0,0.0,5.0,0.0,21.26,24.05,1682575876.66
22.03,22.21,21.77,22.12,21.33,22.21,22.12,19.31,19.48,21.86,22.21,2.01,0.02,6.19,2.06,0.0,0.52,15.99,-0.78,0.0,42.29,31.82,15.0,1.0,38.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575878.64,14.02,14.98,6.66,19.93,19.99,22.66,21.13,0.0,20.88,21.13,20.82,20.69,24.24,28.37,28.31,27.86,0.03,2.01,7.61,2.11,1.0,0.1,9.96,10.0,0.0,0.0,5.0,0.0,21.2,23.99,1682575878.66
22.12,22.12,21.89,22.03,21.42,22.29,22.12,19.22,19.48,21.86,22.29,2.13,0.03,6.16,2.45,0.01,0.51,12.78,0.0,0.0,35.52,29.98,15.0,1.0,38.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575880.66,13.96,14.98,6.66,19.99,19.99,22.66,21.13,0.0,20.94,21.13,20.75,20.69,24.18,28.37,28.31,27.86,0.03,2.01,7.5,2.09,1.0,0.1,9.97,10.0,0.0,0.0,5.0,0.0,21.26,24.05,1682575880.67
22.12,22.12,21.83,22.12,21.33,22.21,22.21,19.31,19.48,21.86,22.12,2.37,0.01,6.17,2.26,0.01,0.53,604.17,-1.17,0.0,35.52,27.17,15.0,1.0,38.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575882.66,13.96,14.98,6.6,19.99,19.93,22.66,21.2,0.0,20.94,21.13,20.82,20.69,24.24,28.37,28.31,27.8,0.03,2.0,7.41,2.09,1.0,0.09,9.96,10.0,0.0,0.0,5.0,0.0,21.2,24.05,1682575882.67
22.12,22.21,21.83,22.21,21.15,22.03,22.12,19.31,19.39,21.86,22.21,2.11,0.02,5.97,2.04,0.01,0.52,899.87,0.0,0.0,42.29,30.06,15.0,1.0,38.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575884.66,13.96,14.98,6.6,20.05,19.99,22.66,21.2,0.0,20.94,21.07,20.75,20.75,24.31,28.37,28.24,27.86,0.03,2.01,7.32,2.1,1.0,0.09,9.98,10.0,0.0,0.0,5.0,10.0,21.26,24.05,1682575884.68
22.12,22.21,21.7,22.21,20.8,22.21,22.12,19.31,19.48,21.86,22.21,1.88,0.03,6.34,1.87,0.01,0.52,864.51,-0.78,0.0,45.67,33.09,15.0,1.0,38.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575886.67,14.02,14.98,6.6,19.99,19.93,22.72,21.2,0.0,20.94,21.07,20.75,20.75,24.24,28.37,28.31,28.62,0.03,2.01,7.17,2.08,1.0,0.1,9.97,10.0,0.0,0.0,5.0,10.0,21.26,23.99,1682575886.69
22.21,22.56,21.64,22.12,19.92,22.12,22.12,19.31,19.48,21.86,22.12,1.81,0.0,6.44,1.85,0.01,0.52,870.94,-0.39,0.0,37.21,33.79,15.0,1.0,38.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682575888.68,14.02,15.04,6.6,19.99,20.05,22.66,21.2,0.0,21.07,21.07,20.75,20.69,24.24,28.37,28.31,27.8,0.03,2.0,7.1,2.09,1.0,0.1,9.97,10.0,0.0,0.0,5.0,10.0,21.32,23.99,1682575888.69
